"archivo";"tiempo";"distancia";"proporcionxy"
"sA01.txt";0.16999999999999998;2.1434330118368456;1.0806583744960705
"sA02.txt";0.22;2.5775292590286263;1.0760456535107952
"sA03.txt";0.19;2.2603903928212428;1.0610516449350826
"sA04.txt";0.19;2.3324469605965423;1.0185503452824376
"sA05.txt";0.17;2.2114949328870237;1.0825710646046562
"sA06.txt";0.15999999999999998;1.4327565917202656;0.9550874165105923
"sA07.txt";0.13999999999999999;1.5605599213058907;1.0801519802490565
"sA08.txt";0.17;1.901533312501706;1.0370843691884823
"sA09.txt";0.17;1.6645883152418282;0.8539395171420376
"sA10.txt";0.16;1.3998884861888503;1.0754859629976505
"sA11.txt";0.16;1.8776808583257096;0.9015879377425919
"sA12.txt";0.22999999999999998;2.6627322343325113;0.82438183993877
"sA13.txt";0.22999999999999998;2.8249360415027818;1.0274605936346506
"sA14.txt";0.19;2.342540465002284;0.850157923591208
"sA15.txt";0.18;2.242555577627574;1.1263158307051355
"sB16.txt";0.17999999999999997;2.2119760876468946;0.6431331833471227
"sB17.txt";0.18;1.8099646729307817;0.5813749248312899
"sB18.txt";0.16;1.542417601166443;0.46542160943831623
"sB19.txt";0.15999999999999998;1.3578099050153736;0.5815138564122126
"sB20.txt";0.21999999999999997;2.0306595656824613;0.6260717394713698
"sB21.txt";0.17999999999999997;1.8379684218284122;0.6354486392154576
"sB22.txt";0.16999999999999998;1.8176849999271634;0.6309521265560728
"sB23.txt";0.2;2.0441037531880917;0.6119181769558183
"sB24.txt";0.22;1.892177837382576;0.5364391559870523
"sB25.txt";0.17999999999999997;2.1314924460449434;0.5332103715029733
"sB26.txt";0.21;1.9100164398859285;0.5989138597204889
"sB27.txt";0.16;1.498016762036408;0.4379420595061711
"sB28.txt";0.19;1.9215661646163928;0.6433858749593434
"sB29.txt";0.16;1.5909724931896019;0.4896935696600511
"sB30.txt";0.16;1.4539792926970099;0.5558861292461015
