0.01	0.000
0.02	0.000
0.03	0.001
0.04	0.005
0.05	0.012
0.06	0.023
0.07	0.035
0.08	0.048
0.09	0.061
0.10	0.074
0.11	0.090
0.12	0.123
0.13	0.199
0.14	0.371
0.15	0.727
0.16	1.388
0.17	2.485
0.18	4.121
0.19	6.318
0.20	8.973
0.21	11.817
0.22	14.430
0.23	16.337
0.24	17.144
0.25	16.678
0.26	15.043
0.27	12.583
0.28	9.758
0.29	7.008
0.30	4.647
0.31	2.824
0.32	1.550
0.33	0.742
0.34	0.280
0.35	0.046
0.36	-0.053
0.37	-0.082
0.38	-0.084
0.39	-0.080
0.40	-0.079
0.41	-0.081
0.42	-0.088
0.43	-0.099
0.44	-0.116
0.45	-0.142
0.46	-0.176
0.47	-0.208
0.48	-0.231
0.49	-0.244
0.50	-0.254
0.51	-0.267
0.52	-0.281
0.53	-0.296
0.54	-0.309
0.55	-0.320
0.56	-0.329
0.57	-0.341
0.58	-0.358
0.59	-0.377
0.60	-0.393
0.61	-0.404
0.62	-0.412
0.63	-0.418
0.64	-0.420
0.65	-0.419
0.66	-0.417
0.67	-0.419
0.68	-0.420
0.69	-0.415
0.70	-0.402
0.71	-0.381
0.72	-0.359
0.73	-0.340
0.74	-0.326
0.75	-0.316
0.76	-0.308
0.77	-0.295
0.78	-0.276
0.79	-0.262
0.80	-0.262
0.81	-0.283
0.82	-0.317
0.83	-0.354
0.84	-0.388
0.85	-0.419
0.86	-0.441
0.87	-0.444
0.88	-0.424
0.89	-0.393
0.90	-0.366
0.91	-0.352
0.92	-0.344
0.93	-0.334
0.94	-0.315
0.95	-0.291
0.96	-0.271
0.97	-0.265
0.98	-0.267
0.99	-0.262
1.00	-0.241
