0.01	-0.000
0.02	-0.000
0.03	-0.000
0.04	-0.000
0.05	0.003
0.06	0.012
0.07	0.029
0.08	0.049
0.09	0.063
0.10	0.063
0.11	0.047
0.12	0.019
0.13	-0.013
0.14	-0.042
0.15	-0.069
0.16	-0.094
0.17	-0.118
0.18	-0.140
0.19	-0.157
0.20	-0.170
0.21	-0.183
0.22	-0.198
0.23	-0.215
0.24	-0.234
0.25	-0.256
0.26	-0.281
0.27	-0.312
0.28	-0.351
0.29	-0.398
0.30	-0.449
0.31	-0.500
0.32	-0.558
0.33	-0.632
0.34	-0.728
0.35	-0.839
0.36	-0.960
0.37	-1.087
0.38	-1.217
0.39	-1.347
0.40	-1.480
0.41	-1.626
0.42	-1.792
0.43	-1.976
0.44	-2.172
0.45	-2.373
0.46	-2.574
0.47	-2.766
0.48	-2.950
0.49	-3.137
0.50	-3.337
0.51	-3.550
0.52	-3.763
0.53	-3.965
0.54	-4.153
0.55	-4.328
0.56	-4.489
0.57	-4.631
0.58	-4.747
0.59	-4.832
0.60	-4.880
0.61	-4.887
0.62	-4.853
0.63	-4.786
0.64	-4.697
0.65	-4.590
0.66	-4.465
0.67	-4.327
0.68	-4.184
0.69	-4.044
0.70	-3.903
0.71	-3.755
0.72	-3.595
0.73	-3.425
0.74	-3.247
0.75	-3.060
0.76	-2.861
0.77	-2.655
0.78	-2.454
0.79	-2.272
0.80	-2.121
0.81	-1.996
0.82	-1.883
0.83	-1.767
0.84	-1.646
0.85	-1.525
0.86	-1.413
0.87	-1.311
0.88	-1.221
0.89	-1.145
0.90	-1.085
0.91	-1.037
0.92	-0.989
0.93	-0.932
0.94	-0.865
0.95	-0.795
0.96	-0.732
0.97	-0.682
0.98	-0.647
0.99	-0.622
1.00	-0.607
